,,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$
,,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R
$C_0 = 0.75/6$,Card MVO,12.3%,12.4%,0.996,12.7%,12.5%,1.01,12.5%,12.6%,0.998,12.3%,12.8%,0.959,12.7%,12.5%,1.01
$C_0 = 0.75/6$,MVO,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966
$C_0 = 0.75/6$,Exact Solve - Vol,11.2%,13.2%,0.85,12.1%,12.6%,0.957,12.2%,12.6%,0.97,12.2%,12.4%,0.99,12.0%,12.9%,0.931
$C_0 = 0.75/6$,PADM - Fundamentals,12.3%,12.8%,0.96,12.4%,12.9%,0.959,12.6%,12.8%,0.984,12.4%,12.6%,0.983,11.8%,12.4%,0.949
$C_0 = 1.00/6$,Card MVO,12.3%,12.8%,0.961,11.6%,12.4%,0.929,11.6%,12.4%,0.929,11.6%,12.4%,0.929,11.6%,12.4%,0.929
$C_0 = 1.00/6$,MVO,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916
$C_0 = 1.00/6$,Exact Solve - Vol,11.6%,12.7%,0.914,11.4%,12.2%,0.937,11.6%,12.2%,0.951,11.2%,12.3%,0.911,11.2%,12.2%,0.924
$C_0 = 1.00/6$,PADM - Fundamentals,10.9%,12.5%,0.868,11.5%,12.2%,0.943,12.2%,12.4%,0.98,11.3%,12.4%,0.911,11.4%,12.2%,0.938
$C_0 = 1.25/6$,Card MVO,10.9%,12.0%,0.914,10.7%,12.1%,0.888,11.3%,12.4%,0.918,10.5%,12.7%,0.825,10.6%,12.3%,0.855
$C_0 = 1.25/6$,MVO,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905
$C_0 = 1.25/6$,Exact Solve - Vol,10.5%,12.1%,0.873,11.0%,12.2%,0.901,11.1%,12.0%,0.926,11.2%,12.0%,0.929,11.1%,12.1%,0.92
$C_0 = 1.25/6$,PADM - Fundamentals,10.9%,12.5%,0.875,10.9%,12.9%,0.844,10.2%,12.2%,0.837,11.0%,12.1%,0.907,11.1%,12.0%,0.928
